Stimulus;VisualField;Pseudoword;Tapping;WordCategory;SubCategory;
ritzen;LVF;FALSE;TRUE;H;H1;
peichnen;LVF;TRUE;TRUE;H;H1;
zwicken;LVF;FALSE;TRUE;H;H1;
tätscheln;LVF;FALSE;TRUE;H;H1;
zupfen;RVF;FALSE;TRUE;H;H1;
lutzen;RVF;TRUE;TRUE;H;H1;
fappen;RVF;TRUE;TRUE;H;H1;
schöppeln;LVF;TRUE;TRUE;H;H1;
lischen;RVF;TRUE;TRUE;H;H1;
pulen;RVF;TRUE;TRUE;H;H1;
streipfen;RVF;TRUE;TRUE;H;H1;
tütschern;LVF;TRUE;TRUE;H;H1;
lapfen;RVF;TRUE;TRUE;H;H1;
kratzen;LVF;FALSE;TRUE;H;H1;
pfeucken;RVF;TRUE;TRUE;H;H1;
gießen;RVF;FALSE;TRUE;H;H1;
pflücken;RVF;FALSE;TRUE;H;H1;
schleppen;RVF;FALSE;TRUE;H;H1;
halten;LVF;FALSE;TRUE;H;H1;
fummeln;RVF;FALSE;TRUE;H;H1;
stoßen;RVF;FALSE;TRUE;H;H1;
schruppen;LVF;TRUE;TRUE;H;H1;
pricken;LVF;TRUE;TRUE;H;H1;
knien;LVF;FALSE;TRUE;F;F;
stärmen;LVF;TRUE;TRUE;F;F;
kechen;RVF;TRUE;TRUE;F;F;
stelpern;LVF;TRUE;TRUE;F;F;
hocken;LVF;FALSE;TRUE;F;F;
pelgen;RVF;TRUE;TRUE;F;F;
laufen;LVF;FALSE;TRUE;F;F;
fliehen;LVF;FALSE;TRUE;F;F;
hüpfen;RVF;FALSE;TRUE;F;F;
stiefeln;RVF;FALSE;TRUE;F;F;
spompfen;LVF;TRUE;TRUE;F;F;
kischen;LVF;TRUE;TRUE;F;F;
eupen;RVF;TRUE;TRUE;F;F;
stolpern;RVF;FALSE;TRUE;F;F;
sprinten;RVF;FALSE;TRUE;F;F;
fleuhen;RVF;TRUE;TRUE;F;F;
springen;LVF;FALSE;TRUE;F;F;
wandern;LVF;FALSE;TRUE;F;F;
kicken;RVF;FALSE;TRUE;F;F;
mochen;LVF;TRUE;TRUE;F;F;
trilen;RVF;TRUE;TRUE;F;F;
humpeln;LVF;FALSE;TRUE;F;F;
eilen;RVF;FALSE;TRUE;F;F;
kriben;LVF;TRUE;TRUE;F;F;
kanzen;RVF;TRUE;TRUE;F;F;
steigen;RVF;FALSE;TRUE;F;F;
strongen;RVF;TRUE;TRUE;F;F;
spolten;RVF;TRUE;TRUE;F;F;
kummeln;LVF;TRUE;TRUE;F;F;
flüchten;LVF;FALSE;TRUE;F;F;
bohren;RVF;FALSE;TRUE;H;H2;
hissen;LVF;FALSE;TRUE;H;H2;
krepen;LVF;TRUE;TRUE;H;H2;
stopfen;RVF;FALSE;TRUE;H;H2;
flechten;LVF;FALSE;TRUE;H;H2;
fiedeln;LVF;FALSE;TRUE;H;H2;
weben;RVF;FALSE;TRUE;H;H2;
reufen;LVF;TRUE;TRUE;H;H2;
hümeln;LVF;TRUE;TRUE;H;H2;
spracken;RVF;TRUE;TRUE;H;H2;
schälen;LVF;FALSE;TRUE;H;H2;
knechen;RVF;TRUE;TRUE;H;H2;
graben;LVF;FALSE;TRUE;H;H2;
nülen;LVF;TRUE;TRUE;H;H2;
hacken;LVF;FALSE;TRUE;H;H2;
lühren;LVF;TRUE;TRUE;H;H2;
sägen;RVF;FALSE;TRUE;H;H2;
putzen;LVF;FALSE;TRUE;H;H2;
toschen;RVF;TRUE;TRUE;H;H2;
scheimeln;LVF;TRUE;TRUE;H;H2;
frilgen;RVF;TRUE;TRUE;H;H2;
truchten;LVF;TRUE;TRUE;H;H2;
reupen;RVF;TRUE;TRUE;H;H2;
stonken;RVF;TRUE;TRUE;H;H2;
harken;LVF;FALSE;TRUE;H;H2;
sugen;RVF;TRUE;TRUE;H;H2;
reiben;RVF;FALSE;TRUE;H;H2;
stricken;RVF;FALSE;TRUE;H;H2;
bauen;RVF;FALSE;TRUE;H;H2;
"	schnaren";RVF;TRUE;TRUE;H;H2;
paseln;RVF;TRUE;TRUE;F;F;
stapfen;LVF;FALSE;TRUE;F;F;
stürmen;RVF;FALSE;TRUE;F;F;
radeln;RVF;FALSE;TRUE;F;F;
stipfen;LVF;TRUE;TRUE;F;F;
fretzen;LVF;TRUE;TRUE;F;F;
speifen;RVF;TRUE;TRUE;F;F;
treten;LVF;FALSE;TRUE;F;F;
spurten;LVF;FALSE;TRUE;F;F;
stampfen;RVF;FALSE;TRUE;F;F;
joggen;LVF;FALSE;TRUE;F;F;
pondeln;LVF;TRUE;TRUE;F;F;
hipfen;LVF;TRUE;TRUE;F;F;
jonnen;LVF;TRUE;TRUE;F;F;
plien;RVF;TRUE;TRUE;F;F;
traben;LVF;FALSE;TRUE;F;F;
trotten;RVF;FALSE;TRUE;F;F;
folgen;LVF;FALSE;TRUE;F;F;
tanzen;LVF;FALSE;TRUE;F;F;
leifen;LVF;TRUE;TRUE;F;F;
sprinfen;RVF;TRUE;TRUE;F;F;
huschen;RVF;FALSE;TRUE;F;F;
bummeln;RVF;FALSE;TRUE;F;F;
waten;LVF;FALSE;TRUE;F;F;
spiekeln;LVF;TRUE;TRUE;F;F;
fröchten;RVF;TRUE;TRUE;F;F;
gapen;RVF;TRUE;TRUE;F;F;
himpeln;RVF;TRUE;TRUE;F;F;
flitzen;RVF;FALSE;TRUE;F;F;
trommen;RVF;TRUE;TRUE;F;F;
